yil,isletmemudurluk,isletmeseflik,adet,hektar
2016,YILANLI,goktepe,2,0.02
2016,YILANLI,yilanli,4,4.53
2016,YILANLI,muratlar,4,0.72
2016,YILANLI,senyayla,1,0.01
2016,YILANLI,cakmak,3,0.42
2016,YILANLI,yorukoglu,0,0
2016,YILANLI,namnam,9,0.22
2016,YILANLI,cinar,0,0
2016,YILANLI,kizilkaya,0,0
2016,KAVAKLIDERE,belibol,4,1.71
2016,KAVAKLIDERE,gokcay,5,3.9
2016,KAVAKLIDERE,kavaklidere,2,0.6
2016,KAVAKLIDERE,mentese,2,1.05
2016,KAVAKLIDERE,cayboyu,0,0
2016,DALAMAN,bahtiyar,6,0.4
2016,DALAMAN,caldere,6,5.1
2016,DALAMAN,dalaman,6,0.6
2016,DALAMAN,ortaca,6,0.56
2016,DALAMAN,kavacik,0,0
2016,DALAMAN,narli,0,0
2016,SEYDIKEMER,yapraktepe,10,1.11
2016,SEYDIKEMER,kemer,3,0.5
2016,SEYDIKEMER,seki,3,0.7
2016,SEYDIKEMER,saklikent,7,1.3
2016,SEYDIKEMER,esen,7,6.51
2016,SEYDIKEMER,akcay,6,1.1
2016,SEYDIKEMER,pasali,0,0
2016,SEYDIKEMER,karadere,0,0
2016,SEYDIKEMER,seydikemer,0,0
2017,AYDIN,akcaova,1,0.03
2017,AYDIN,aydin,4,2.13
2017,AYDIN,cine,2,2.52
2017,AYDIN,germencik,1,0.1
2017,AYDIN,karpuzlu,0,0
2017,AYDIN,kocarli,3,1.1
2017,AYDIN,kusadasi,3,3.03
2017,AYDIN,soke,4,1.6
2017,AYDIN,kosk,0,0
2017,AYDIN,madran,0,0
2017,AYDIN,didim,0,0
2017,FETHIYE,esenn,0,0
2017,FETHIYE,fethiye,5,0.25
2017,FETHIYE,gocek,7,5.35
2017,FETHIYE,guneydag,1,0.1
2017,FETHIYE,uzumlu,7,0.91
2017,FETHIYE,caldagi,0,0
2017,FETHIYE,karaculha,0,0
2017,KOYCEGIZ,agla,2,0.2
2017,KOYCEGIZ,akkopru,0,0
2017,KOYCEGIZ,beyobasi,0,2.66
2017,KOYCEGIZ,karacam,3,1.02
2017,KOYCEGIZ,koycegiz,4,2.7
2017,KOYCEGIZ,sultaniye,3,0.7
2017,KOYCEGIZ,balcilar,0,0
2017,KOYCEGIZ,cayhisar,0,0
2017,KOYCEGIZ,otmanlar,0,0
2017,MARMARIS,bayir,0,0
2017,MARMARIS,cetibeli,2,0.21
2017,MARMARIS,datca,5,79.82
2017,MARMARIS,hisaronu,3,21.02
2017,MARMARIS,marmaris,6,0.74
2017,MARMARIS,emecik,0,0
2017,MARMARIS,karaca,0,0
2017,MILAS,bodrum,5,1.67
2017,MILAS,karacahisar,10,5.03
2017,MILAS,kayadere,3,0.32
2017,MILAS,milas,2,0.65
2017,MILAS,oren,3,28
2017,MILAS,saricay,3,4.11
2017,MILAS,selimiye,10,7.01
2017,MILAS,gürcamlar,0,0
2017,MILAS,mumcular,6,5.42
2017,MILAS,cökertme,0,0
2017,MILAS,guvercinlik,0,0
2017,MILAS,labranda,0,0
2017,MILAS,bafa,0,0
2017,MILAS,yali,0,0
2017,MUGLA,denizova,2,231
2017,MUGLA,gokova,1,1
2017,MUGLA,mugla,2,0.02
2017,MUGLA,yaras,4,0.06
2017,MUGLA,yerkesik,0,0
2017,MUGLA,ula,0,0
2017,MUGLA,karabortlen,1,0.7
2017,MUGLA,yesilyurt,3,0.31
2017,NAZILLI,bozdogan,2,1.5
2017,NAZILLI,karacasu,2,0.6
2017,NAZILLI,karincalidag,0,0
2017,NAZILLI,kemerbaraji,8,2.63
2017,NAZILLI,kuyucak,5,0.56
2017,NAZILLI,nazilli,4,5.55
2017,NAZILLI,saricaova,2,1.6
2017,NAZILLI,yenice,0,0
2017,NAZILLI,yenipazar,2,0.06
2017,NAZILLI,bozbey,0,0
2017,NAZILLI,kartal,0,0
2017,NAZILLI,karlik,0,0
2017,NAZILLI,menderes,0,0
2017,NAZILLI,bozyaka,0,0
2017,YATAGAN,bagyaka,2,4.9
2017,YATAGAN,mentescayi,1,0.15
2017,YATAGAN,turgut,7,1.11
2017,YATAGAN,yatagan,2,0.2
2017,YATAGAN,kavak,0,0
2017,YATAGAN,bencik,0,0
2017,YILANLI,boyali,4,1.03
